Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Artesanía y manualidades			Flores artificiales y de seda				16494	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Flores artificiales y de seda [16494]	Flores artificiales y de seda	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_16494
ES	186	Artesanía y manualidades			Formas, bases y marcos				16498	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Formas, bases y marcos [16498]	Formas, bases y marcos	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_16498
ES	186	Artesanía y manualidades			Pines florales				183679	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Pines florales [183679]	Pines florales	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_183679
ES	186	Artesanía y manualidades			Plantas secas y popurrí				160648	3	No	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648]	Plantas secas y popurrí	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_160648
ES	186	Artesanía y manualidades				Flores secas			16493	4	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648] > Flores secas [16493]	Flores secas	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_16493
ES	186	Artesanía y manualidades				Frutas secas			183676	4	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648] > Frutas secas [183676]	Frutas secas	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_183676
ES	186	Artesanía y manualidades				Semillas secas			183678	4	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648] > Semillas secas [183678]	Semillas secas	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_183678
ES	186	Artesanía y manualidades				Vainas secas			134565	4	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648] > Vainas secas [134565]	Vainas secas	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_134565
ES	186	Artesanía y manualidades				Vegetación seca			183677	4	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Plantas secas y popurrí [160648] > Vegetación seca [183677]	Vegetación seca	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_183677
ES	186	Artesanía y manualidades			Guías				16496	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Guías [16496]	Guías	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_16496
